Tip Matrice,Tip alocare,Nr threads,Timp executie
N=10 M=10 K=3,dinamic,secvential,4390
N=10 M=10 K=3,dinamic,4,726590
N=10 M=10 K=3,dinamic,4,806580
N=10 M=10 K=3,dinamic,4,788590
N=10 M=10 K=3,static,4,782960
N=10 M=10 K=3,static,4,770170
N=10 M=10 K=3,static,secvential,23540
N=1000 M=10 K=5,dinamic,secvential,852470
N=1000 M=10 K=5,static,2,4688730
N=1000 M=10 K=5,static,2,2364000
N=1000 M=10 K=5,static,secvential,2653450
N=1000 M=10 K=5,dinamic,secvential,862330
N=1000 M=10 K=5,static,4,4357300
N=1000 M=10 K=5,static,4,2286030
N=1000 M=10 K=5,static,secvential,2600830
N=1000 M=10 K=5,dinamic,secvential,851210
N=1000 M=10 K=5,static,8,4285940
N=1000 M=10 K=5,static,8,2303290
N=1000 M=10 K=5,static,secvential,2615580
N=1000 M=10 K=5,dinamic,secvential,878090
N=1000 M=10 K=5,static,secvential,2707280
N=1000 M=10 K=5,static,16,2807470
N=1000 M=10 K=5,static,16,5047140
N=10 M=1000 K=5,dinamic,secvential,825500
N=10 M=1000 K=5,static,2,1431750
N=10 M=1000 K=5,static,2,1285440
N=10 M=1000 K=5,static,secvential,831190
N=10 M=1000 K=5,static,2,4097410
N=10 M=1000 K=5,static,4,3981120
N=10 M=1000 K=5,static,4,1347780
N=10 M=1000 K=5,static,secvential,819930
N=10 M=1000 K=5,dinamic,secvential,827940
N=10 M=1000 K=5,static,8,1590030
N=10 M=1000 K=5,static,8,4380420
N=10 M=1000 K=5,static,secvential,821220
N=10 M=1000 K=5,dinamic,secvential,859600
N=10 M=1000 K=5,dinamic,secvential,846660
N=10 M=1000 K=5,static,secvential,872700
N=10 M=1000 K=5,static,16,2116780
N=10 M=1000 K=5,static,16,5261520
N=1000 M=1000 K=5,dinamic,secvential,84362120
N=1000 M=1000 K=5,static,secvential,83842890
N=1000 M=1000 K=5,static,16,106890610
N=1000 M=1000 K=5,static,16,24268280
N=1000 M=1000 K=5,static,secvential,83366750
N=10 M=10 K=3,static,secvential,15580
N=10 M=10 K=3,static,secvential,19200
N=10 M=10 K=3,static,4,1337320
N=1000 M=10 K=3,static,4,2858250
