Tip Matrice,Nr threads,Timp executie
N=10 M=10 K=3,both,0.04774
N=10 M=10 K=3,both,0.04946
N=10 M=10 K=3,4,0.80748
N=5 M=5 K=3,4,0.74561
N=5 M=5 K=3,4,0.67829
N=5 M=5 K=3,4,0.72172
N=5 M=5 K=3,4,0.59285
N=5 M=5 K=3,4,0.6047
N=5 M=5 K=3,4,1.05817
N=5 M=5 K=3,paralel,0.93796
N=5 M=5 K=3,both,0.9208
N=5 M=5 K=3,both,0.79463
N=5 M=5 K=3,both,0.81819
N=5 M=5 K=3,both,0.84711
N=5 M=5 K=3,both,1.01689
N=5 M=5 K=3,both,0.88959
N=5 M=5 K=3,both,0.81592
N=5 M=5 K=3,both,0.78051
N=5 M=5 K=3,both,0.76303
N=5 M=5 K=3,both,0.78333
N=5 M=5 K=3,both,0.79576
N=5 M=5 K=3,secvential,0.01656
N=5 M=5 K=3,paralel,2.59966
N=5 M=5 K=3,both,1.61405
N=5 M=5 K=3,paralel,0.85435
N=5 M=5 K=3,both,1.51109
N=10 M=10 K=3,secvential,0.04664
N=1000 M=1000 K=5,secvential,59.89453
N=1000 M=1000 K=5,paralel,116.15196
N=1000 M=1000 K=5,both,182.46561
N=1000 M=1000 K=5,both,206.31151
N=1000 M=1000 K=5,paralel,139.69883
N=1000 M=1000 K=5,secvential,67.7311
N=1000 M=1000 K=5,secvential,67.17222
N=1000 M=1000 K=5,paralel,139.62201
N=1000 M=1000 K=5,both,208.66085
N=1000 M=10 K=5,both,19.57819
N=1000 M=10 K=5,paralel,13.44314
N=1000 M=10 K=5,secvential,4.57422
N=1000 M=10 K=5,secvential,4.99324
N=1000 M=10 K=5,paralel,12.82876
N=1000 M=10 K=5,both,18.79998
N=10 M=1000 K=5,both,7.85342
N=10 M=1000 K=5,both,8.67788
N=10 M=1000 K=5,both,6.73391
N=10 M=1000 K=5,both,6.25126
N=10 M=1000 K=5,paralel,1.17446
N=10 M=1000 K=5,paralel,1.40956
N=10 M=1000 K=5,paralel,2.33081
N=10 M=1000 K=5,paralel,3.46435
N=10 M=10 K=5,secvential,0.1542499
N=10 M=10 K=5,paralel,1.6637
N=10 M=10 K=5,both,1.78237
N=10 M=10 K=5,both,2.6963698
N=10 M=10 K=5,secvential,0.1736501
