Tip Matrice,Nr threads,Timp executie
10 10 3,2 both,0.04222 1.51802 0.78012
1000 1000 3,2 both,33.3454 41.54958 37.44749
1000 1000 3,4 both,33.46307 50.11405 41.78856
1000 1000 3,8 both,30.93895 64.77122 47.855085
1000 1000 3,16 both,35.25939 124.71138 79.985385
1000 1000 3,8 both,31.96869 51.9999 41.984295
100 100 3,8 both,1.00776 2.86002 1.93389
100 100 3,8 both,1.5609 4.90433 3.232615
1000 1000 3,16 both,15.26697 58.4509 36.858935
1000 1000 3,16 both,15.83968 78.41712 47.1284
100 100 3,5 parallel,3.34558
100 100 3,5 both,0.85815 2.16465 1.5114
100 100 3,5 parallel,3.36891
1000 1000 3,5 sequence,12.62974
1000 1000 3,5 sequence,12.74113
1000 1000 3,5 sequence,13.11948
1000 1000 3,5 both,12.65668 35.47826 24.06747
1000 1000 3,9 both,12.9749 56.9304 34.95265
1000 1000 3,21 both,12.4668 55.8159 34.14135
